North by Northwest;Adventure;Mystery;Thriller;136;81
Vertigo;Mystery;Romance;Thriller;128;83
Singin' in the Rain;Comedy;Musical;Romance;103;82
Ikiru;Drama;;;143;83
Ladri di biciclette;Drama;;;89;83
Double Indemnity;Crime;Drama;Film-Noir;107;79
Citizen Kane;Drama;Mystery;;119;83
M - Eine Stadt sucht einen Mörder;Crime;Mystery;Thriller;117;83
Metropolis;Drama;Sci-Fi;;153;81
The Kid;Comedy;Drama;Family;68;83
Chhichhore;Comedy;Drama;;143;82
Uri: The Surgical Strike;Action;Drama;War;138;82
Andhadhun;Crime;Drama;Music;139;82
K,G,F: Chapter 1;Action;Drama;;156;82
Green Book;Biography;Comedy;Drama;130;57
Talvar;Crime;Drama;Mystery;132;82
Baahubali 2: The Conclusion;Action;Drama;;167;82
Klaus;Animation;Adventure;Comedy;96;53
Drishyam;Crime;Drama;Mystery;163;82
Queen;Adventure;Comedy;Drama;146;82
Mandariinid;Drama;War;;87;60
Bhaag Milkha Bhaag;Biography;Drama;Sport;186;82
Gangs of Wasseypur;Action;Comedy;Crime;321;73
Udaan;Drama;;;134;82
Paan Singh Tomar;Action;Biography;Crime;135;82
Zindagi Na Milegi Dobara;Comedy;Drama;;155;82
El secreto de sus ojos;Drama;Mystery;Romance;129;66
Warrior;Action;Drama;Sport;140;58
Shutter Island;Mystery;Thriller;;138;52
Up;Animation;Adventure;Comedy;96;72
Miracle in Cell No, 7;Drama;;;132;82
The Wolf of Wall Street;Biography;Crime;Drama;180;62
Chak De! India;Drama;Family;Sport;153;56
There Will Be Blood;Drama;;;158;76
Pan's Labyrinth;Drama;Fantasy;War;118;80
Toy Story 3;Animation;Adventure;Comedy;103;75
V for Vendetta;Action;Drama;Sci-Fi;132;51
Rang De Basanti;Comedy;Crime;Drama;167;82
Black;Drama;;;122;82
Batman Begins;Action;Adventure;;140;57
Swades: We, the People;Drama;;;210;82
Der Untergang;Biography;Drama;History;156;67
Hauru no ugoku shiro;Animation;Adventure;Family;119;66
A Beautiful Mind;Biography;Drama;;135;59
Hera Pheri;Action;Comedy;Crime;156;82
Lock, Stock and Two Smoking Barrels;Action;Comedy;Crime;107;54
L,A, Confidential;Crime;Drama;Mystery;138;74
Eskiya;Crime;Drama;Thriller;128;82
Heat;Crime;Drama;Thriller;170;62
Casino;Crime;Drama;;178;60
Andaz Apna Apna;Action;Comedy;Romance;160;82
Unforgiven;Drama;Western;;130;70
Indiana Jones and the Last Crusade;Action;Adventure;;127;53
Dom za vesanje;Comedy;Crime;Drama;142;82
Tonari no Totoro;Animation;Family;Fantasy;86;71
Die Hard;Action;Thriller;;132;59
